, Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
197.00, Marcopolo , PN , POMO4 ," R$2,573,165 ",-,-," Alerta, Baixo Crescimento ", Nível 2 , Bens industriais , Material de transporte , Material rodoviário ,8.80,11.3%,14.40,0.90,0.70,2.90, R$0.04 , R$0.33 ,1.3%,11%," R$2,990,418 "," R$2,397,018 "," R$1,100,176 "," R$1,296,842 ",0.80,4.75, Baixo Endividamento ," R$212,506 "," R$353,634 "," R$119,685 "," R$362,090 "," R$338,024 "," R$272,452 ",5%," R$9,029 ",81%,7%,11%,2%,4%,1.32,30/06/2022," R$51,802 "," 28,381 ", Liquidez Alta 
198.00, Aura 360 , ON , AURA33 ," R$2,505,650 ",-,-, Crescimento e Dividendos , BDR nível 3 , Materiais básicos , Mineração , Minerais metálicos ,7.60,13.1%,-,1.50,1.10,34.50, R$2.67 , R$4.54 ,7.7%,59%," R$1,639,433 "," R$1,131,648 "," R$1,141,560 ","-R$9,912 ",0.69,-, Empresa com Mais Caixa que Dívida , - , - , - , - , - , - ,-," R$572,795 ",74%,N/D,23%,19%,9%,-,30/06/2022," R$29,642 "," 15,009 ", Liquidez Alta 
199.00, Alliar , ON , AALR3 ," R$2,496,133 ",-,-," Alerta, Prejuízo ", Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,-45.20,-2.2%,18.60,2.20,2.20,21.19, R$-   ,-R$0.47 ,0.0%,0%," R$1,145,368 "," R$808,798 "," R$240,190 "," R$568,608 ",0.71,3.42, Baixo Endividamento ," R$144,439 "," R$154,979 "," R$149,354 "," R$219,907 "," R$260,526 "," R$166,479 ",3%," R$270,230 ",38%,88%,-4%,2%,-2%,1.23,30/06/2022," R$33,089 "," 3,793 ", Liquidez Alta 
200.00, Direcional , ON , DIRR3 ," R$2,482,995 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,15.30,6.5%,6.90,1.80,1.20,16.68, R$0.47 , R$1.09 ,2.8%,43%," R$1,364,162 "," R$1,206,676 "," R$610,663 "," R$596,013 ",0.88,0.59, Baixo Endividamento ," R$205,631 "," R$28,528 ","-R$108,844 ","-R$10,682 "," R$228,889 "," R$421,133 ",15%," R$176,474 ",0%,1%,17%,6%,4%,1.40,30/06/2022," R$153,465 "," 45,132 ", Liquidez Alta 
201.00, Log Com Prop , ON , LOGG3 ," R$2,448,541 ",-,-, Crescimento , Novo Mercado , Financeiro , Exploração de imóveis , Exploração de imóveis ,6.00,16.8%,8.50,0.70,14.40,24.30, R$0.87 , R$4.08 ,3.6%,21%," R$3,536,372 "," R$1,539,858 "," R$83,173 "," R$1,456,685 ",0.44,3.11, Baixo Endividamento ," R$44,588 "," R$54,686 "," R$72,157 "," R$83,686 "," R$180,908 "," R$469,059 ",60%," R$81,090 ",1084%,84183%,13%,6%,8%,0.98,30/06/2022," R$25,090 "," 6,530 ", Liquidez Alta 
202.00, Anima , ON , ANIM3 ," R$2,282,188 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Diversos , Serviços educacionais ,-7.60,-13.2%,6.50,0.80,0.70,6.04, R$-   ,-R$0.79 ,0.0%,0%," R$2,688,957 "," R$5,064,660 "," R$146,238 "," R$4,918,422 ",1.88,3.82, Dívida Alta ," R$97,533 "," R$98,210 "," R$137,467 "," R$92,976 "," R$243,063 "," R$1,008,189 ",60%," R$309,928 ",84%,45%,-10%,3%,-3%,1.76,30/06/2022," R$59,241 "," 20,890 ", Liquidez Alta 
203.00, Irani , ON , RANI3 ," R$2,212,305 ",-,-, Crescimento e Dividendos , Novo Mercado , Materiais básicos , Embalagens , Embalagens ,6.30,15.8%,4.50,2.20,1.30,8.98, R$0.64 , R$1.42 ,7.2%,46%," R$1,032,489 "," R$1,100,729 "," R$37,691 "," R$1,063,038 ",1.07,0.98, Baixo Endividamento ," R$173,231 "," R$196,736 "," R$101,311 "," R$186,668 "," R$327,306 "," R$633,914 ",30%," R$418,032 ",129%,546%,41%,18%,14%,0.95,30/06/2022," R$39,212 "," 12,162 ", Liquidez Alta 
204.00, Qualicorp , ON , QUAL3 ," R$2,176,435 ",0.1%,0.1%," Alerta, Baixo Crescimento ", Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,7.70,13.0%,3.70,1.60,1.10,7.82, R$0.26 , R$1.02 ,3.3%,25%," R$1,396,868 "," R$2,616,507 "," R$824,680 "," R$1,791,827 ",1.87,1.51, Dívida Moderada ," R$643,799 "," R$709,876 "," R$836,847 "," R$979,639 "," R$985,315 "," R$977,243 ",9%," R$675,795 ",78%,138%,18%,13%,6%,0.85,30/06/2022," R$139,815 "," 42,476 ", Liquidez Alta 
205.00, Celesc , PN , CLSC4 ," R$2,126,083 ",-,-, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,3.60,27.6%,2.90,0.80,0.20,58.70, R$7.06 , R$16.20 ,12.0%,44%," R$2,899,181 "," R$2,562,986 "," R$1,272,254 "," R$1,290,732 ",0.88,1.10, Baixo Endividamento ," R$356,775 "," R$329,336 "," R$523,243 "," R$610,596 "," R$724,819 "," R$1,172,959 ",27%," R$576,661 ",151%,339%,27%,8%,5%,0.54,30/06/2022, R$932 , 49 , Liquidez Baixa 
206.00, Jallesmachad , ON , JALL3 ," R$2,095,296 ",-,-, Crescimento , Novo Mercado , Consumo não cíclico , Alimentos processados , Açúcar e álcool ,5.30,18.7%,2.80,1.40,1.40,7.11, R$0.33 , R$1.33 ,4.7%,25%," R$1,508,764 "," R$2,415,058 "," R$1,184,662 "," R$1,230,396 ",1.60,0.98, Dívida Moderada , - , - , - , - , - ," R$1,164,177 ",-," R$592,058 ",75%,109%,31%,17%,8%,-,30/06/2022," R$17,684 "," 12,480 ", Liquidez Alta 
207.00, Track Field , PN , TFCO4 ," R$2,084,320 ",-,-, Crescimento , Nível 2 , Consumo cíclico , Tecidos vestuário e calçados , Vestuário ,22.20,4.5%,16.00,6.80,4.00,13.05, R$0.18 , R$0.59 ,1.4%,31%," R$305,055 "," R$84,710 "," R$60,671 "," R$24,039 ",0.28,0.18, Baixo Endividamento , - , - ," R$49,386 "," R$30,463 "," R$41,841 "," R$132,143 ",-," R$55,801 ",44%,160%,42%,23%,19%,-,30/06/2022," R$9,825 "," 2,565 ", Liquidez Moderada 
208.00, Kora Saude , ON , KRSA3 ," R$2,069,210 ",-,-," Alerta, Prejuízo ", Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,-24.40,-4.1%,-,1.70,1.20,2.70, R$-   ,-R$0.11 ,0.0%,0%," R$1,243,515 "," R$2,422,901 "," R$525,638 "," R$1,897,263 ",1.95,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$132,037 ",-,N/D,-16%,3%,-1%,-,30/06/2022, R$320 , 368 , Liquidez Baixa 
209.00, Cruzeiro Edu , ON , CSED3 ," R$2,046,567 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Diversos , Serviços educacionais ,36.00,2.8%,4.00,1.40,1.10,5.36, R$0.13 , R$0.15 ,2.4%,88%," R$1,441,781 "," R$1,131,672 "," R$954,338 "," R$177,334 ",0.78,0.32, Baixo Endividamento , - , - ," R$182,516 "," R$266,490 "," R$397,933 "," R$550,876 ",-," R$436,859 ",31%,63%,4%,7%,1%,-,30/06/2022," R$4,567 "," 3,534 ", Liquidez Moderada 
210.00, Kepler Weber , ON , KEPL3 ," R$2,038,063 ",-,-, Crescimento , Tradicional , Bens industriais , Máquinas e equipamentos , Máq. e equip. industriais ,7.40,13.6%,4.60,3.70,1.30,22.73, R$1.21 , R$3.09 ,5.3%,39%," R$554,396 "," R$162,225 "," R$208,545 ","-R$46,320 ",0.29,-0.26, Empresa com Mais Caixa que Dívida ," R$28,823 ","-R$23,329 ","-R$12,749 "," R$48,418 "," R$83,315 "," R$420,062 ",71%," R$161,108 ",25%,139%,43%,55%,22%,0.81,30/06/2022," R$64,228 "," 13,313 ", Liquidez Alta 
211.00, Vittia , ON , VITT3 ," R$2,034,175 ",-,-, Crescimento , Novo Mercado , Materiais básicos , Químicos , Fertilizantes e defensivos ,16.60,6.0%,-,4.20,2.30,14.25, R$0.23 , R$0.86 ,1.6%,27%," R$483,107 "," R$278,396 "," R$67,973 "," R$210,423 ",0.58,-, Baixo Endividamento , - , - , - , - , - , - ,-," R$54,406 ",-,N/D,41%,15%,14%,-,30/06/2022," R$7,597 "," 2,144 ", Liquidez Moderada 
212.00, Bk Brasil , ON , BKBR3 ," R$2,021,596 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Hotéis e restaurantes , Restaurante e similares ,-26.50,-3.8%,8.40,1.40,0.60,7.50, R$-   ,-R$0.28 ,0.0%,0%," R$1,485,254 "," R$1,055,129 "," R$82,410 "," R$972,719 ",0.71,1.63, Baixo Endividamento , R$70 ," R$118,216 "," R$185,005 "," R$259,964 "," R$320,310 "," R$300,920 ",433%," R$359,768 ",79%,116%,-5%,1%,-2%,1.32,30/06/2022," R$47,725 "," 14,169 ", Liquidez Alta 
213.00, Iochp-Maxion , ON , MYPK3 ," R$1,996,375 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Automóveis e motocicletas , Automóveis e motocicletas ,3.20,31.0%,3.50,0.50,0.10,13.18, R$1.84 , R$4.09 ,14.0%,45%," R$4,038,756 "," R$6,016,263 "," R$1,392,893 "," R$4,623,370 ",1.49,2.35, Baixo Endividamento ," R$751,066 "," R$796,225 "," R$798,553 "," R$1,057,068 "," R$1,095,809 "," R$1,963,389 ",21%," R$132,366 ",413%,104%,19%,10%,5%,0.94,30/06/2022," R$86,080 "," 24,007 ", Liquidez Alta 
214.00, Light S/A , ON , LIGT3 ," R$1,985,720 ",-,-, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,7.90,12.6%,4.60,0.20,0.10,5.33, R$0.25 , R$0.67 ,4.8%,38%," R$8,548,000 "," R$12,131,412 "," R$16,562 "," R$12,114,850 ",1.42,3.69, Baixo Endividamento ," R$1,095,183 "," R$1,009,446 "," R$1,694,051 "," R$1,507,105 "," R$1,874,521 "," R$2,210,019 ",15%," R$403,768 ",336%,183%,3%,5%,1%,1.78,30/06/2022," R$80,867 "," 25,478 ", Liquidez Alta 
215.00, Oi , ON , OIBR3 ," R$1,970,221 ",-,-," Alerta, Prejuízo ", Nível 1 , Comunicações , Telecomunicações , Telecomunicações ,-0.40,-266.0%,9.20,2.50,0.20,0.32, R$-   ,-R$0.85 ,0.0%,0%," R$772,597 "," R$21,189,166 "," R$4,825,966 "," R$16,363,200 ",27.43,8.20, Dívida Alta ," R$7,794,076 "," R$6,376,709 "," R$2,748,264 "," R$769,735 "," R$5,516,953 "," R$1,970,652 ",-24%," R$975,154 ",321%,64%,-87%,-5%,-10%,1.74,30/06/2022," R$110,416 "," 69,892 ", Liquidez Alta 
216.00, Oi , PN , OIBR4 ," R$1,970,221 ",-,-," Alerta, Prejuízo ", Nível 1 , Comunicações , Telecomunicações , Telecomunicações ,-0.90,-116.6%,9.20,5.60,0.40,0.73, R$-   ,-R$0.85 ,0.0%,0%," R$772,597 "," R$21,189,166 "," R$4,825,966 "," R$16,363,200 ",27.43,8.20, Dívida Alta ," R$7,794,076 "," R$6,376,709 "," R$2,748,264 "," R$769,735 "," R$5,516,953 "," R$1,970,652 ",-24%," R$975,154 ",321%,64%,-87%,-5%,-10%,1.30,30/06/2022," R$3,820 "," 1,941 ", Liquidez Moderada 
217.00, Cvc Brasil , ON , CVCB3 ," R$1,962,851 ",0.1%,0.1%," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Viagens e lazer , Viagens e turismo ,-3.20,-31.2%,-96.30,4.00,1.40,7.08, R$-   ,-R$2.21 ,0.0%,0%," R$491,391 "," R$890,600 "," R$479,535 "," R$411,065 ",1.81,-, Dívida Alta ," R$415,887 "," R$500,215 "," R$561,179 "," R$659,063 "," R$428,358 ","-R$22,620 ",-156%,"-R$254,885 ",-75%,93%,-304%,-13%,-10%,2.40,30/06/2022," R$362,368 "," 46,397 ", Liquidez Alta 
218.00, Taurus Armas , ON , TASA3 ," R$1,950,683 ",-,-, Crescimento , Nível 2 , Bens industriais , Máquinas e equipamentos , Armas e munições ,2.80,36.0%,2.20,2.10,0.70,16.19, R$1.62 , R$5.82 ,10.0%,28%," R$926,833 "," R$592,230 "," R$166,754 "," R$425,476 ",0.64,0.31, Baixo Endividamento ,"-R$25,627 ","-R$63,999 ","-R$125,803 "," R$80,478 "," R$128,039 "," R$1,049,748 ",-310%," R$508,021 ",42%,700%,185%,48%,31%,0.80,30/06/2022," R$2,318 ", 588 , Liquidez Moderada 
219.00, Taurus Armas , PN , TASA4 ," R$1,950,683 ",-,-, Crescimento , Nível 2 , Bens industriais , Máquinas e equipamentos , Armas e munições ,2.70,36.4%,2.20,2.10,0.60,16.01, R$1.62 , R$5.82 ,10.2%,28%," R$926,833 "," R$592,230 "," R$166,754 "," R$425,476 ",0.64,0.31, Baixo Endividamento ,"-R$25,627 ","-R$63,999 ","-R$125,803 "," R$80,478 "," R$128,039 "," R$1,049,748 ",-310%," R$508,021 ",42%,700%,185%,48%,31%,0.95,30/06/2022," R$40,724 "," 8,929 ", Liquidez Alta 
220.00, Eletromidia , ON , ELMD3 ," R$1,930,944 ",-,-," Alerta, Prejuízo ", Novo Mercado , Comunicações , Mídia , Publicidade e propaganda ,-203.30,-0.5%,19.50,2.60,3.30,13.85, R$-   ,-R$0.07 ,0.0%,0%," R$735,970 "," R$668,434 "," R$117,858 "," R$550,576 ",0.91,4.09, Baixo Endividamento , - , - ," R$26,296 "," R$33,008 "," R$60,545 "," R$134,487 ",-," R$43,731 ",259%,127%,-1%,2%,0%,-,30/06/2022," R$13,090 "," 2,721 ", Liquidez Alta 
221.00, Infracomm , ON , IFCM3 ," R$1,877,450 ",-,-," Alerta, Prejuízo ", Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,-9.20,-10.9%,-,1.20,2.00,5.15, R$-   ,-R$0.56 ,0.0%,0%," R$1,182,994 "," R$584,836 "," R$223,965 "," R$360,871 ",0.49,-, Baixo Endividamento , - , - , - ," R$2,767 "," R$10,006 ", - ,-," R$1,235 ",-,N/D,-16%,-2%,-5%,-,30/06/2022," R$16,587 "," 12,465 ", Liquidez Alta 
222.00, Hidrovias , ON , HBSA3 ," R$1,862,938 ",-,-," Alerta, Prejuízo ", Novo Mercado , Bens industriais , Transporte , Transporte hidroviário ,-9.40,-10.7%,11.30,1.40,1.40,2.45, R$-   ,-R$0.26 ,0.0%,0%," R$1,353,670 "," R$4,664,960 "," R$123,929 "," R$4,541,031 ",3.45,7.78, Dívida Alta ," R$10,244 "," R$158,255 "," R$380,596 "," R$724,851 "," R$449,398 "," R$523,094 ",120%," R$207,658 ",210%,126%,-13%,2%,-3%,-,30/06/2022," R$31,546 "," 21,554 ", Liquidez Alta 
223.00, Banestes , ON , BEES3 ," R$1,843,802 ",-,-, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,5.70,17.4%,-,0.90,-,5.78, R$0.54 , R$1.01 ,9.3%,53%," R$1,941,388 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$1,327,983 ",-,N/D,18%,,1%,0.64,30/06/2022, R$346 , 319 , Liquidez Baixa 
224.00, Portobello , ON , PTBL3 ," R$1,804,634 ",-,-, Crescimento e Dividendos , Novo Mercado , Bens industriais , Construção e engenharia , Produtos para construção ,8.10,12.3%,5.50,4.00,0.90,12.80, R$0.91 , R$1.57 ,7.1%,58%," R$453,307 "," R$731,066 "," R$190,606 "," R$540,460 ",1.61,1.27, Dívida Moderada ," R$166,768 "," R$115,312 "," R$189,017 "," R$288,006 "," R$129,856 "," R$425,065 ",21%," R$292,792 ",51%,186%,56%,17%,10%,1.94,30/06/2022," R$54,999 "," 15,646 ", Liquidez Alta 
225.00, Banco BMG , PN , BMGB4 ," R$1,795,732 ",-,-, Crescimento e Dividendos , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,9.40,10.6%,-,0.50,-,3.08, R$0.32 , R$0.33 ,10.2%,97%," R$3,839,238 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$6,454 ",-,N/D,5%,,1%,1.50,30/06/2022," R$31,973 "," 14,880 ", Liquidez Alta 
226.00, Dimed , ON , PNVL3 ," R$1,777,783 ",-,-, Crescimento , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,21.50,4.7%,8.60,1.60,0.50,11.96, R$0.19 , R$0.56 ,1.6%,34%," R$1,079,578 "," R$872,225 "," R$41,561 "," R$830,664 ",0.81,2.54, Baixo Endividamento ," R$102,220 "," R$111,887 "," R$117,948 "," R$139,743 "," R$215,107 "," R$293,793 ",24%," R$188,866 ",89%,95%,8%,4%,3%,0.67,30/06/2022," R$14,967 "," 7,700 ", Liquidez Alta 
227.00, Positivo Tec , ON , POSI3 ," R$1,764,238 ",0.0%,-, Crescimento , Novo Mercado , Tecnologia da informação , Computadores e equipamentos , Computadores e equipamentos ,8.30,12.0%,5.70,1.40,0.40,12.62, R$0.34 , R$1.52 ,2.7%,22%," R$1,276,468 "," R$1,404,302 "," R$376,174 "," R$1,028,128 ",1.10,2.09, Baixo Endividamento ," R$4,797 "," R$171,145 "," R$71,076 "," R$107,600 "," R$134,850 "," R$492,371 ",153%,"-R$519,510 ",-18%,205%,19%,12%,5%,2.01,30/06/2022," R$128,585 "," 26,718 ", Liquidez Alta 
228.00, Modalmais , ON , MODL3 ," R$1,751,921 ",-,-, Crescimento e Dividendos , Novo Mercado , Financeiro , Intermediários financeiros , Bancos ,16.20,6.2%,-,1.30,-,2.51, R$0.10 , R$0.15 ,4.1%,66%," R$1,316,246 ", - ," R$1,291,234 ", - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$334,793 ",-,N/D,8%,,1%,-,30/06/2022," R$17,711 "," 10,466 ", Liquidez Alta 
229.00, JSL , ON , JSLG3 ," R$1,732,687 ",-,-, Dividendos , Novo Mercado , Bens industriais , Transporte , Transporte rodoviário ,8.60,11.6%,5.80,1.30,0.30,6.09, R$0.38 , R$0.71 ,6.2%,53%," R$1,351,734 "," R$4,053,383 "," R$132,633 "," R$3,920,750 ",3.00,3.84, Dívida Alta ," R$1,092,081 "," R$1,045,970 "," R$1,230,201 "," R$1,597,534 "," R$2,115,909 "," R$888,743 ",-4%,"-R$56,460 ",-718%,150%,16%,7%,3%,-,30/06/2022," R$12,818 "," 9,486 ", Liquidez Alta 
230.00, Sinqia , ON , SQIA3 ," R$1,695,978 ",-,-, Crescimento , Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,54.30,1.8%,16.90,2.20,3.40,20.00, R$0.07 , R$0.37 ,0.3%,18%," R$780,032 "," R$248,001 "," R$21,935 "," R$226,066 ",0.32,1.54, Baixo Endividamento ," R$8,674 "," R$12,971 "," R$18,245 "," R$15,278 "," R$13,117 "," R$111,140 ",67%," R$85,273 ",573%,770%,7%,3%,2%,1.16,30/06/2022," R$54,249 "," 12,222 ", Liquidez Alta 
231.00, Emae , PN , EMAE4 ," R$1,684,783 ",-,-, Crescimento , Tradicional , Utilidade pública , Energia elétrica , Energia elétrica ,14.30,7.0%,40.00,2.20,3.20,45.60, R$1.43 , R$3.20 ,3.1%,45%," R$768,308 ", R$-   ," R$369,477 ","-R$369,477 ",0.00,-11.25, Empresa com Mais Caixa que Dívida ,"-R$19,072 "," R$4,474 "," R$115,388 "," R$6,666 "," R$40,621 "," R$32,844 ",-211%," R$73,963 ",143%,1820%,15%,1%,7%,0.88,30/06/2022, R$600 , 92 , Liquidez Baixa 
232.00, Schulz , PN , SHUL4 ," R$1,621,307 ",-,-, Crescimento , Tradicional , Bens industriais , Máquinas e equipamentos , Motores compressores e outros ,7.40,13.6%,5.90,1.70,0.90,4.54, R$0.17 , R$0.62 ,3.7%,28%," R$975,594 "," R$879,061 "," R$83,767 "," R$795,294 ",0.90,1.16, Baixo Endividamento ," R$111,664 "," R$73,835 "," R$91,273 "," R$122,037 "," R$137,658 "," R$339,309 ",25%," R$156,999 ",81%,220%,28%,13%,10%,1.18,30/06/2022," R$4,219 "," 2,407 ", Liquidez Moderada 
233.00, Brisanet , ON , BRIT3 ," R$1,607,763 ",-,-, Crescimento , Novo Mercado , Comunicações , Telecomunicações , Telecomunicações ,501.70,0.2%,7.30,1.20,1.90,3.59, R$0.00 , R$0.01 ,0.0%,17%," R$1,346,475 "," R$1,072,722 "," R$408,478 "," R$664,244 ",0.80,2.09, Baixo Endividamento , - , - , - , - , - ," R$309,145 ",-," R$253,119 ",515%,612%,2%,3%,0%,-,30/06/2022," R$3,215 "," 3,516 ", Liquidez Moderada 
234.00, BR Partners , UNT N2 , BRBI11 ," R$1,560,236 ",-,-, Crescimento e Dividendos , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,10.20,9.8%,-,2.10,0.90,14.86, R$0.40 , R$0.49 ,8.1%,82%," R$757,523 "," R$4,474,979 "," R$103,013 "," R$4,371,966 ",5.91,-, Dívida Alta , - , - , - , - , - , - ,-," R$98,744 ",-,N/D,21%,,3%,-,30/06/2022," R$3,477 "," 1,315 ", Liquidez Moderada 
235.00, Boa Safra , ON , SOJA3 ," R$1,516,967 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo não cíclico , Agropecuária , Agricultura ,-,-,-,2.30,-,12.95, R$0.04 , - ,0.3%,-," R$652,036 "," R$395,639 "," R$51,426 "," R$344,213 ",0.61,-, Baixo Endividamento , - , - ,"-R$1,431 "," R$12,340 "," R$45,477 ", - ,-, - ,-,N/D,,,,-,30/06/2022," R$8,068 "," 3,204 ", Liquidez Moderada 
236.00, Aeris , ON , AERI3 ," R$1,502,228 ",-,-, Crescimento e Dividendos , Novo Mercado , Bens industriais , Máquinas e equipamentos , Máq. e equip. industriais ,30121.00,0.0%,9.00,1.60,0.60,1.97, R$0.02 , R$0.00 ,1.1%,31654%," R$967,394 "," R$1,657,011 "," R$860,895 "," R$796,116 ",1.71,3.12, Dívida Alta , - , - ," R$95,294 "," R$173,410 "," R$148,232 "," R$255,386 ",-," R$179,498 ",115%,436%,0%,8%,0%,-,30/06/2022," R$26,763 "," 20,121 ", Liquidez Alta 
237.00, Bemobi Tech , ON , BMOB3 ," R$1,436,304 ",-,-, Crescimento , Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,21.20,4.7%,6.60,1.40,1.30,16.37, R$0.20 , R$0.77 ,1.2%,26%," R$1,030,491 ", R$-   ," R$288,971 ","-R$288,971 ",0.00,-3.43, Empresa com Mais Caixa que Dívida , - , - , - ," R$81,159 "," R$81,310 "," R$143,735 ",-," R$44,256 ",527%,442%,7%,10%,5%,-,30/06/2022," R$35,059 "," 7,068 ", Liquidez Alta 
238.00, Unifique , ON , FIQE3 ," R$1,429,851 ",-,-, Crescimento e Dividendos , Novo Mercado , Comunicações , Telecomunicações , Telecomunicações ,12.80,7.8%,4.00,1.50,2.50,4.05, R$0.17 , R$0.32 ,4.1%,53%," R$963,499 "," R$364,239 "," R$535,700 ","-R$171,461 ",0.38,-1.17, Empresa com Mais Caixa que Dívida , - , - , - , - , - ," R$278,594 ",-," R$237,578 ",148%,271%,90%,13%,7%,-,30/06/2022," R$3,293 "," 2,693 ", Liquidez Moderada 
239.00, Tegma , ON , TGMA3 ," R$1,397,881 ",-,-, Crescimento e Dividendos , Novo Mercado , Bens industriais , Transporte , Transporte rodoviário ,12.40,8.1%,9.40,2.00,1.30,21.20, R$0.97 , R$1.71 ,4.6%,57%," R$707,573 "," R$132,335 "," R$119,723 "," R$12,612 ",0.19,0.08, Baixo Endividamento ," R$72,047 "," R$86,776 "," R$136,853 "," R$182,706 "," R$268,411 "," R$150,826 ",16%," R$74,141 ",40%,136%,17%,11%,11%,1.38,30/06/2022," R$11,116 "," 3,184 ", Liquidez Alta 
240.00, Even , ON , EVEN3 ," R$1,376,294 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,8.20,12.2%,8.50,0.70,0.60,6.66, R$0.07 , R$0.81 ,1.1%,9%," R$1,899,108 "," R$450,548 "," R$15,911 "," R$434,637 ",0.24,-2.02, Baixo Endividamento ," R$105,444 ","-R$14,863 ","-R$346,178 ","-R$148,174 "," R$182,861 "," R$204,720 ",14%,"-R$356,322 ",-4%,146%,10%,4%,4%,2.06,30/06/2022," R$25,454 "," 15,345 ", Liquidez Alta 
241.00, Agrogalaxy , ON , AGXY3 ," R$1,319,343 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo não cíclico , Agropecuária , Agricultura ,-67.00,-1.5%,5.20,1.10,0.10,7.88, R$0.17 ,-R$0.12 ,2.1%,-143%," R$1,255,444 "," R$1,749,238 "," R$390,362 "," R$1,358,876 ",1.39,2.59, Baixo Endividamento , - , - , - , - ," R$74,849 "," R$506,229 ",-,"-R$136,137 ",-178%,227%,-2%,10%,0%,-,30/06/2022," R$1,525 "," 1,106 ", Liquidez Moderada 
242.00, Wiz S.A. , ON , WIZS3 ," R$1,287,254 ",-,-, Crescimento e Dividendos , Novo Mercado , Financeiro , Previdência e seguros , Corretoras de seguros e resseguros ,10.20,9.8%,-,3.40,1.50,8.05, R$0.59 , R$0.79 ,7.3%,75%," R$382,701 "," R$233,244 "," R$29,729 "," R$203,515 ",0.61,-, Baixo Endividamento ," R$156,138 "," R$209,920 "," R$268,037 ", - , - , - ,-," R$253,240 ",-,N/D,41%,16%,9%,0.99,30/06/2022," R$20,640 "," 10,333 ", Liquidez Alta 
243.00, Romi , ON , ROMI3 ," R$1,283,417 ",-,-, Crescimento , Novo Mercado , Bens industriais , Máquinas e equipamentos , Máq. e equip. industriais ,6.30,15.9%,7.10,1.30,0.90,15.91, R$0.75 , R$2.52 ,4.7%,30%," R$971,079 "," R$595,336 "," R$89,609 "," R$505,727 ",0.61,1.88, Baixo Endividamento ," R$32,403 ","-R$10,049 "," R$81,520 "," R$79,334 "," R$138,041 "," R$246,138 ",50%," R$105,037 ",116%,258%,24%,9%,10%,1.18,30/06/2022," R$23,165 "," 7,814 ", Liquidez Alta 
244.00, Ourofino S/A , ON , OFSA3 ," R$1,250,097 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Saúde , Medicamentos e outros produtos , Medicamentos e outros produtos ,11.20,8.9%,8.80,1.80,1.30,23.25, R$0.54 , R$2.08 ,2.3%,26%," R$679,614 "," R$448,754 "," R$216,955 "," R$231,799 ",0.66,1.37, Baixo Endividamento ," R$118,034 "," R$30,777 "," R$91,210 "," R$123,506 "," R$96,423 "," R$168,821 ",7%," R$65,131 ",112%,241%,19%,10%,9%,1.23,30/06/2022," R$1,644 ", 210 , Liquidez Moderada 
245.00, Lavvi , ON , LAVV3 ," R$1,199,967 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,10.20,9.8%,7.30,1.00,2.40,6.14, R$1.18 , R$0.60 ,19.2%,196%," R$1,171,897 "," R$2,952 "," R$15,286 ","-R$12,334 ",0.00,-4.88, Empresa com Mais Caixa que Dívida , - , - ,"-R$4,258 "," R$24,439 "," R$53,215 "," R$105,245 ",-," R$89,345 ",3%,305%,10%,8%,8%,-,30/06/2022," R$11,410 "," 7,810 ", Liquidez Alta 
